TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,A-,3,Alex Hooper,hoope154,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,B,3,Alex Hooper,hoope154,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,B+,2,Alex Hooper,hoope154,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,B-,1,Alex Hooper,hoope154,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,C+,1,Alex Hooper,hoope154,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,C-,2,Alex Hooper,hoope154,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,D,3,Alex Hooper,hoope154,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,F,4,Alex Hooper,hoope154,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,W,2,Alex Hooper,hoope154,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,A,30,Tonya Jackman Hampton,jack0016,ABUS 3510
1259,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,A-,4,Tonya Jackman Hampton,jack0016,ABUS 3510
1259,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,B,1,Tonya Jackman Hampton,jack0016,ABUS 3510
1259,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,B-,1,Tonya Jackman Hampton,jack0016,ABUS 3510
1259,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",A,6,Michael Essien,essi0007,ABUS 4013W
1259,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",A-,11,Michael Essien,essi0007,ABUS 4013W
1259,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B,9,Michael Essien,essi0007,ABUS 4013W
1259,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B+,3,Michael Essien,essi0007,ABUS 4013W
1259,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B-,1,Michael Essien,essi0007,ABUS 4013W
1259,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",C+,2,Michael Essien,essi0007,ABUS 4013W
1259,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,A,10,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,A-,4,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,B,3,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,B+,3,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,B-,3,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,C+,3,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,F,2,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,W,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,A,12,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,A-,6,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,B,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,B+,2,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,B-,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,C,2,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,C+,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,C-,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,D+,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,F,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,W,1,Bradley Goodell,bgoodell,ABUS 4022W
