TERM,TERM_DESCR,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1233,Spr 2023,UMNTC,ABUS,4022W,303,LEC,Management in Organizations,B,6,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,303,LEC,Management in Organizations,B+,6,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,303,LEC,Management in Organizations,B-,3,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,303,LEC,Management in Organizations,C,4,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,303,LEC,Management in Organizations,C+,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,303,LEC,Management in Organizations,W,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,A,16,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,A-,3,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,B,2,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,B+,2,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,B-,4,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,C,1,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,C-,1,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,W,1,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,302,LEC,Communicating for Results,A,12,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,302,LEC,Communicating for Results,A-,6,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,302,LEC,Communicating for Results,B,2,Bradley Goodell,bgoodell,ABUS 4023W
