TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,NAME,JOBCODE_DESCR,INTERNET_ID
1255,Sum 2025,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,B,28,5,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,B+,28,1,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,B-,28,1,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,C,28,2,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,C+,28,3,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,F,28,4,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,W,28,2,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,A,24,3,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,A-,24,3,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,B,24,4,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,B+,24,4,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,B-,24,4,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,C,24,1,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,C-,24,1,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,D,24,1,PI,"Menze,Grace",Lecturer,gmenze
