TERM,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1235,UMNTC,AMST,2031,001,Chasing the American Dream,B+,1,David Karjanen,karjanen,AMST 2031
1235,UMNTC,AMST,2031,001,Chasing the American Dream,C-,1,David Karjanen,karjanen,AMST 2031
1235,UMNTC,AMST,2031,001,Chasing the American Dream,S,2,David Karjanen,karjanen,AMST 2031
1235,UMNTC,ANAT,7999,001,Head & Neck,A,18,Mark Cook,cookx072,ANAT 7999
1235,UMNTC,ANAT,7999,001,Head & Neck,B,7,Mark Cook,cookx072,ANAT 7999
1235,UMNTC,ANAT,7999,001,Head & Neck,C,2,Mark Cook,cookx072,ANAT 7999
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,A,16,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,A-,4,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,B,1,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,B+,2,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,B-,2,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,C,1,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,C-,1,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,F,1,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,S,1,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,ANSC,1701,001,Historical Influence of Horse,W,1,Melissa Palmer,melissap,ANSC 1701
1235,UMNTC,APEC,1201,001,Excel in Economics and Mgmnt,A,5,Thomas Durfee,,APEC 1201
1235,UMNTC,APEC,1201,001,Excel in Economics and Mgmnt,A-,2,Thomas Durfee,,APEC 1201
1235,UMNTC,APEC,1201,001,Excel in Economics and Mgmnt,B,1,Thomas Durfee,,APEC 1201
1235,UMNTC,APEC,1201,001,Excel in Economics and Mgmnt,B+,3,Thomas Durfee,,APEC 1201
1235,UMNTC,APEC,1201,001,Excel in Economics and Mgmnt,C,1,Thomas Durfee,,APEC 1201
1235,UMNTC,APEC,1201,001,Excel in Economics and Mgmnt,C+,1,Thomas Durfee,,APEC 1201
1235,UMNTC,APEC,1201,001,Excel in Economics and Mgmnt,F,2,Thomas Durfee,,APEC 1201
1235,UMNTC,APEC,1201,001,Excel in Economics and Mgmnt,S,1,Thomas Durfee,,APEC 1201
1235,UMNTC,APEC,1201,001,Excel in Economics and Mgmnt,W,1,Thomas Durfee,,APEC 1201
1235,UMNTC,ARAB,1001,001,Survival Arabic,A,7,Emily Sumner,,ARAB 1001
1235,UMNTC,ARAB,1001,001,Survival Arabic,A-,1,Emily Sumner,,ARAB 1001
1235,UMNTC,ARAB,1001,001,Survival Arabic,B+,1,Emily Sumner,,ARAB 1001
