INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,TERM,FULL_NAME
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,F,2,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,W,3,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,A,11,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,A-,2,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,B,6,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,B+,4,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,B-,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,C,2,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,C+,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,D,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,F,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,303,Communicating for Results,W,2,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,304,Communicating for Results,A,16,Isaac Johnson,isaacj,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,304,Communicating for Results,A-,3,Isaac Johnson,isaacj,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,304,Communicating for Results,B,1,Isaac Johnson,isaacj,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,304,Communicating for Results,B+,4,Isaac Johnson,isaacj,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,304,Communicating for Results,C+,1,Isaac Johnson,isaacj,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,304,Communicating for Results,F,2,Isaac Johnson,isaacj,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,304,Communicating for Results,W,3,Isaac Johnson,isaacj,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,A,6,Richard Brynteson,bryn0004,1253,ABUS 4026
UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,A-,3,Richard Brynteson,bryn0004,1253,ABUS 4026
UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,B-,1,Richard Brynteson,bryn0004,1253,ABUS 4026
UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,C,1,Richard Brynteson,bryn0004,1253,ABUS 4026
UMNTC,UMNTC,ABUS,4027,302,Core Technologies for Business,A,11,Uriah Giordana,ugiordan,1253,ABUS 4027
UMNTC,UMNTC,ABUS,4027,302,Core Technologies for Business,A-,2,Uriah Giordana,ugiordan,1253,ABUS 4027
