TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1263,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,A-,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,B+,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,B-,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,W,2,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,303,Planning Your Financial Future,A,21,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,303,Planning Your Financial Future,A-,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,303,Planning Your Financial Future,B,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,303,Planning Your Financial Future,B+,2,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,303,Planning Your Financial Future,C+,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,303,Planning Your Financial Future,C-,2,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,303,Planning Your Financial Future,W,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,304,Planning Your Financial Future,A,25,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,304,Planning Your Financial Future,A-,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,304,Planning Your Financial Future,B,2,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,304,Planning Your Financial Future,B-,2,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,304,Planning Your Financial Future,C,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,304,Planning Your Financial Future,D+,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,304,Planning Your Financial Future,F,2,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,A,16,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,A-,5,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,B,3,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,B+,2,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,B-,2,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,C,1,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,C+,1,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,C-,1,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,F,3,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,W,1,David Husom,husom001,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,A,7,Jeff Neidt,neidt004,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,A-,5,Jeff Neidt,neidt004,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,B,5,Jeff Neidt,neidt004,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,B+,3,Jeff Neidt,neidt004,ABUS 3201
