DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
5.57,5.14,5.43,5.57,5.0,5.43,5.57,7,AECM 3452
5.88,5.75,6.0,6.0,5.88,6.0,5.88,8,AECM 3452
6.0,6.0,6.0,6.0,6.0,6.0,6.0,5,AECM 3462
6.0,6.0,6.0,6.0,5.89,5.89,6.0,9,AECM 3462
6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,AECM 4432
5.57,5.71,6.0,5.71,5.71,5.71,5.86,7,AECM 4432
5.4,5.2,5.6,5.2,4.8,4.8,4.75,5,AECM 4444
5.8,5.8,5.8,5.8,5.8,5.0,5.8,5,AECM 4444
5.0,5.0,5.0,4.0,3.0,5.0,5.0,1,AECM 4452
4.6,4.6,5.2,4.8,5.0,5.0,4.8,5,AECM 5110
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,AECM 5110
6.0,5.5,5.5,5.5,4.5,5.5,5.0,2,AECM 5135
5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,AECM 5135
5.0,5.0,5.0,5.0,5.0,5.5,5.5,2,AECM 5145
5.0,5.0,5.0,5.0,5.0,5.0,6.0,1,AECM 5145
5.0,5.5,5.0,5.0,5.5,5.0,5.0,2,AECM 5155
5.0,6.0,6.0,6.0,6.0,4.0,6.0,1,AECM 5280
5.67,6.0,6.0,5.33,5.33,4.33,5.33,3,AECM 5698
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,AECM 5125W
5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,AECM 5125W
5.19,4.56,5.06,5.31,3.81,4.94,4.88,16,AEM 1301
5.47,4.83,4.83,5.0,4.22,4.67,4.78,18,AEM 1301
5.33,5.33,5.0,5.33,4.67,5.0,5.33,3,AEM 1303
4.67,4.33,4.33,4.67,4.0,2.33,3.67,3,AEM 1303
5.53,5.09,5.21,5.22,5.36,5.4,5.34,91,AEM 2011
4.93,4.19,4.96,4.67,4.63,4.59,4.74,27,AEM 2011
5.32,4.7,4.26,4.78,4.47,4.83,4.64,82,AEM 2011
5.61,5.33,5.44,5.47,4.94,5.5,5.44,18,AEM 2011
5.67,4.83,5.5,5.33,5.17,5.0,5.17,6,AEM 2012
5.74,5.51,5.69,5.64,5.36,5.49,5.66,39,AEM 2012
5.7,5.49,5.24,5.53,5.65,5.62,5.62,37,AEM 2012
5.72,5.54,5.56,5.56,5.33,5.3,5.54,46,AEM 2012
4.62,4.21,3.27,4.15,4.58,4.79,4.28,72,AEM 2021
4.43,4.09,4.22,4.45,4.57,4.57,4.23,23,AEM 2021
4.3,3.34,2.86,3.67,4.01,4.42,3.62,71,AEM 2021
4.83,4.33,4.5,4.58,4.67,5.08,4.25,12,AEM 2021
5.17,4.67,4.53,5.13,5.39,5.17,4.94,19,AEM 2031
5.3,4.37,4.5,4.93,4.48,5.11,4.44,27,AEM 2031
5.22,5.03,4.46,4.59,4.89,4.95,4.81,37,AEM 2301
5.7,5.58,5.22,5.31,5.22,5.38,5.59,74,AEM 2301
5.37,4.95,5.07,5.21,5.44,5.15,5.17,41,AEM 3031
4.91,4.31,3.71,4.58,4.57,4.73,4.54,122,AEM 3031
5.75,5.5,4.75,5.25,5.5,5.25,5.5,4,AEM 3031
5.77,5.27,5.16,5.51,5.63,5.38,5.79,52,AEM 3031
5.16,4.34,4.08,4.65,5.1,4.94,4.47,77,AEM 3031
5.19,5.03,5.23,5.1,4.81,5.06,4.97,31,AEM 3101
5.41,5.15,5.49,5.29,4.84,5.0,5.15,68,AEM 3101
5.25,4.97,5.0,4.85,4.64,5.06,4.88,33,AEM 4201
5.51,5.22,4.97,5.32,4.51,5.05,5.03,37,AEM 4201
5.76,5.64,5.68,5.6,5.4,5.36,5.72,25,AEM 4202
5.81,5.63,5.29,5.45,5.65,5.45,5.67,31,AEM 4202
5.31,5.0,5.12,4.88,4.51,4.62,4.89,37,AEM 4203
4.91,4.59,4.53,4.43,4.23,4.82,4.47,44,AEM 4203
