Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1,ABUS 4105
Spr 2022,5.83,5.83,6.0,6.0,6.0,6.0,6.0,6,ABUS 4105
Fall 2022,5.5,5.75,5.75,5.5,5.5,5.75,5.75,4,ABUS 4105
Spr 2023,5.86,5.86,5.86,5.86,5.86,5.93,5.86,14,ABUS 4105
Sum 2023,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2,ABUS 4105
Fall 2020,5.33,4.67,5.0,5.0,4.67,5.0,4.33,3,ABUS 4151
Spr 2021,5.0,4.33,5.33,4.33,5.0,5.33,4.33,3,ABUS 4151
Fall 2021,5.43,5.0,5.14,5.0,5.29,5.43,5.14,7,ABUS 4151
Spr 2022,5.0,5.0,5.0,4.8,4.4,5.2,5.0,5,ABUS 4151
Fall 2022,6.0,5.67,5.67,6.0,5.67,5.67,5.67,3,ABUS 4151
Spr 2023,4.6,4.4,4.8,4.8,4.6,5.2,4.4,5,ABUS 4151
Sum 2023,5.0,5.0,5.0,4.5,5.0,4.5,4.5,2,ABUS 4151
Fall 2020,5.0,5.0,5.0,4.0,5.5,5.5,3.5,2,ABUS 4217
Fall 2021,4.33,4.56,4.22,3.89,3.25,4.67,4.0,9,ABUS 4217
Spr 2021,4.8,5.2,5.0,4.8,4.0,4.8,4.2,5,ABUS 4218
Spr 2022,4.2,4.0,3.6,3.6,3.6,4.6,3.4,5,ABUS 4218
Spr 2023,5.25,5.25,4.25,4.5,3.5,4.75,4.0,4,ABUS 4218
Fall 2020,5.2,5.33,5.17,5.0,5.17,5.33,5.0,6,ABUS 4501
Fall 2021,5.22,4.89,4.67,4.67,5.44,5.11,4.78,9,ABUS 4501
Fall 2022,4.75,4.67,4.75,4.75,5.5,5.0,4.75,4,ABUS 4501
Fall 2020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,ABUS 4502
Spr 2021,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2,ABUS 4502
Spr 2022,6.0,5.5,6.0,6.0,6.0,5.5,6.0,2,ABUS 4502
Spr 2021,6.0,5.5,5.5,5.5,5.5,5.5,5.5,2,ABUS 4509
Fall 2020,4.67,4.67,5.0,4.67,4.67,4.67,4.67,3,ABUS 4515
Spr 2021,5.14,5.43,5.33,5.0,5.71,5.71,5.29,7,ABUS 4515
Fall 2021,4.67,3.33,4.67,4.67,4.67,5.0,4.0,3,ABUS 4515
Spr 2022,5.0,4.6,5.2,5.0,5.5,4.8,5.2,5,ABUS 4515
Fall 2022,4.75,4.5,4.25,4.75,5.5,5.25,5.0,4,ABUS 4515
Spr 2023,5.0,4.33,5.0,5.33,5.33,5.0,4.67,3,ABUS 4515
Spr 2021,5.0,6.0,4.0,5.0,6.0,6.0,6.0,1,ABUS 4518
Fall 2022,5.0,4.0,6.0,5.0,5.0,6.0,5.0,1,ABUS 4518
Spr 2021,5.88,6.0,5.88,6.0,5.88,6.0,6.0,8,ABUS 4545
Fall 2021,5.5,5.5,5.5,5.0,5.0,4.0,5.0,2,ABUS 4545
Spr 2022,5.33,5.33,5.33,5.67,5.33,4.33,5.33,3,ABUS 4545
Sum 2022,5.0,5.0,5.5,5.5,5.5,5.0,5.5,2,ABUS 4545
Fall 2022,5.0,4.67,4.67,4.67,5.0,5.0,5.33,3,ABUS 4545
Spr 2023,5.0,3.0,6.0,5.0,5.5,5.5,3.0,3,ABUS 4545
Sum 2023,5.5,5.5,5.75,5.75,5.75,5.75,5.5,4,ABUS 4545
Fall 2020,5.0,4.4,5.2,5.2,4.4,5.2,4.6,5,ABUS 4571
Spr 2021,5.54,5.38,5.58,5.38,5.46,5.23,5.23,13,ABUS 4571
Fall 2021,4.33,4.17,5.0,4.33,4.0,3.67,4.17,6,ABUS 4571
Spr 2022,6.0,5.4,5.4,5.6,5.6,5.2,5.8,5,ABUS 4571
Fall 2022,4.0,4.0,5.0,4.0,3.0,3.0,3.0,1,ABUS 4571
Spr 2023,5.33,5.0,5.33,5.33,5.0,5.33,5.33,3,ABUS 4571
Fall 2020,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1,ABUS 4701
Spr 2021,5.0,4.67,5.67,5.33,5.33,5.0,5.33,3,ABUS 4701
Fall 2021,4.5,4.5,4.5,5.0,5.0,4.5,5.0,2,ABUS 4701
Spr 2022,5.33,5.17,5.83,5.33,5.67,5.5,5.5,6,ABUS 4701
